 ETA_AV=  8.47117117E-05
   0.0000      0.129517 16.053598  0.000325
  10.6750      0.003250  0.402866  0.000008
  10.7000      0.003211  0.397994  0.000008
  10.7250      0.003215  0.398494  0.000008
  10.7500      0.003251  0.402919  0.000008
  10.7750      0.003250  0.402816  0.000008
  10.8000      0.003178  0.393941  0.000008
  10.8250      0.003287  0.407421  0.000008
  10.8500      0.003174  0.393362  0.000008
  10.8750      0.003211  0.397969  0.000008
  10.9000      0.003138  0.388991  0.000008
  10.9250      0.003137  0.388832  0.000008
  10.9500      0.003174  0.393414  0.000008
  10.9750      0.003212  0.398074  0.000008
  11.0000      0.003173  0.393309  0.000008
  11.0250      0.003213  0.398232  0.000008
  11.0500      0.003173  0.393335  0.000008
  11.0750      0.003208  0.397679  0.000008
  11.1000      0.003172  0.393229  0.000008
  11.1250      0.003174  0.393442  0.000008
  11.1500      0.003171  0.393046  0.000008
  11.1750      0.003209  0.397784  0.000008
  11.2000      0.003173  0.393284  0.000008
  11.2250      0.003137  0.388886  0.000008
  11.2500      0.003206  0.397365  0.000008
  11.2750      0.003135  0.388622  0.000008
  11.3000      0.003172  0.393203  0.000008
  11.3250      0.003133  0.388385  0.000008
  11.3500      0.003207  0.397497  0.000008
  11.3750      0.003171  0.393099  0.000008
  11.4000      0.003135  0.388622  0.000008
  11.4250      0.003097  0.383933  0.000008
  11.4500      0.003173  0.393258  0.000008
  11.4750      0.003096  0.383750  0.000008
  11.5000      0.003169  0.392757  0.000008
  11.5250      0.003133  0.388306  0.000008
  11.5500      0.003096  0.383805  0.000008
  11.5750      0.003097  0.383910  0.000008
  11.6000      0.003130  0.387938  0.000008
  11.6250      0.003097  0.383857  0.000008
  11.6500      0.003168  0.392624  0.000008
  11.6750      0.003095  0.383619  0.000008
  11.7000      0.003204  0.397180  0.000008
  11.7250      0.003095  0.383566  0.000008
  11.7500      0.003132  0.388255  0.000008
  11.7750      0.003131  0.388044  0.000008
  11.8000      0.003132  0.388175  0.000008
  11.8250      0.003128  0.387753  0.000008
  11.8500      0.003094  0.383514  0.000008
  11.8750      0.003058  0.379011  0.000008
  11.9000      0.003094  0.383541  0.000008
  11.9250      0.003166  0.392389  0.000008
  11.9500      0.003130  0.387964  0.000008
  11.9750      0.003130  0.387913  0.000008
  12.0000      0.003166  0.392467  0.000008
  12.0250      0.003057  0.378853  0.000008
  12.0500      0.003095  0.383568  0.000008
  12.0750      0.003094  0.383462  0.000008
  12.1000      0.003093  0.383435  0.000008
  12.1250      0.003130  0.387991  0.000008
  12.1500      0.003094  0.383462  0.000008
  12.1750      0.003093  0.383357  0.000008
  12.2000      0.003056  0.378827  0.000008
  12.2250      0.003092  0.383278  0.000008
  12.2500      0.003092  0.383251  0.000008
  12.2750      0.003093  0.383436  0.000008
  12.3000      0.003092  0.383198  0.000008
  12.3250      0.003127  0.387543  0.000008
  12.3500      0.003056  0.378827  0.000008
  12.3750      0.003094  0.383541  0.000008
  12.4000      0.003093  0.383383  0.000008
  12.4250      0.003092  0.383225  0.000008
  12.4500      0.003057  0.378853  0.000008
  12.4750      0.003129  0.387833  0.000008
  12.5000      0.003092  0.383225  0.000008
  12.5250      0.003092  0.383198  0.000008
  12.5500      0.003055  0.378617  0.000008
  12.5750      0.003090  0.383067  0.000008
  12.6000      0.003090  0.383041  0.000008
  12.6250      0.003092  0.383198  0.000008
  12.6500      0.003054  0.378590  0.000008
  12.6750      0.003054  0.378590  0.000008
  12.7000      0.003091  0.383119  0.000008
  12.7250      0.003093  0.383330  0.000008
  12.7500      0.003090  0.382961  0.000008
  12.7750      0.003055  0.378616  0.000008
  12.8000      0.003091  0.383146  0.000008
  12.8250      0.003054  0.378485  0.000008
  12.8500      0.003091  0.383120  0.000008
  12.8750      0.003091  0.383093  0.000008
  12.9000      0.003054  0.378511  0.000008
  12.9250      0.003093  0.383358  0.000008
  12.9500      0.003091  0.383067  0.000008
  12.9750      0.003089  0.382935  0.000008
  13.0000      0.003090  0.383067  0.000008
  13.0250      0.003054  0.378564  0.000008
  13.0500      0.003055  0.378696  0.000008
  13.0750      0.003091  0.383120  0.000008
  13.1000      0.003054  0.378511  0.000008
  13.1250      0.003054  0.378538  0.000008
  13.1500      0.003054  0.378564  0.000008
  13.1750      0.003053  0.378432  0.000008
  13.2000      0.003055  0.378616  0.000008
  13.2250      0.003089  0.382882  0.000008
  13.2500      0.003054  0.378590  0.000008
  13.2750      0.003090  0.382988  0.000008
  13.3000      0.003054  0.378538  0.000008
  13.3250      0.003089  0.382908  0.000008
  13.3500      0.003055  0.378643  0.000008
  13.3750      0.003053  0.378406  0.000008
  13.4000      0.003054  0.378591  0.000008
  13.4250      0.003054  0.378485  0.000008
  13.4500      0.003052  0.378353  0.000008
  13.4750      0.003053  0.378432  0.000008
  13.5000      0.003054  0.378512  0.000008
  13.5250      0.003053  0.378432  0.000008
  13.5500      0.003090  0.382961  0.000008
  13.5750      0.003091  0.383120  0.000008
  13.6000      0.003053  0.378432  0.000008
  13.6250      0.003053  0.378379  0.000008
  13.6500      0.003054  0.378485  0.000008
  13.6750      0.003054  0.378511  0.000008
  13.7000      0.003089  0.382935  0.000008
  13.7250      0.003053  0.378406  0.000008
  13.7500      0.003053  0.378380  0.000008
  13.7750      0.003089  0.382882  0.000008
  13.8000      0.003089  0.382935  0.000008
  13.8250      0.003053  0.378406  0.000008
  13.8500      0.003053  0.378432  0.000008
  13.8750      0.003053  0.378406  0.000008
  13.9000      0.003052  0.378353  0.000008
  13.9250      0.003089  0.382909  0.000008
  13.9500      0.003053  0.378379  0.000008
  13.9750      0.003053  0.378458  0.000008
  14.0000      0.003053  0.378406  0.000008
  14.0250      0.003053  0.378459  0.000008
  14.0500      0.003052  0.378353  0.000008
  14.0750      0.003053  0.378379  0.000008
  14.1000      0.003052  0.378353  0.000008
  14.1250      0.003052  0.378353  0.000008
  14.1500      0.003053  0.378380  0.000008
  14.1750      0.003052  0.378274  0.000008
  14.2000      0.003053  0.378379  0.000008
  14.2250      0.003053  0.378406  0.000008
  14.2500      0.003053  0.378380  0.000008
  14.2750      0.003053  0.378380  0.000008
  14.3000      0.003053  0.378406  0.000008
  14.3250      0.003053  0.378380  0.000008
  14.3500      0.003052  0.378274  0.000008
  14.3750      0.003052  0.378353  0.000008
  14.4000      0.003052  0.378327  0.000008
  14.4250      0.003052  0.378353  0.000008
  14.4500      0.003052  0.378327  0.000008
  14.4750      0.003053  0.378380  0.000008
  14.5000      0.003053  0.378406  0.000008
  14.5250      0.003089  0.382935  0.000008
  14.5500      0.003052  0.378300  0.000008
  14.5750      0.003053  0.378379  0.000008
  14.6000      0.003053  0.378406  0.000008
  14.6250      0.003052  0.378353  0.000008
  14.6500      0.003052  0.378274  0.000008
  14.6750      0.003053  0.378380  0.000008
  14.7000      0.003052  0.378300  0.000008
  14.7250      0.003052  0.378327  0.000008
  14.7500      0.003052  0.378353  0.000008
  14.7750      0.003052  0.378301  0.000008
  14.8000      0.003052  0.378274  0.000008
  14.8250      0.003052  0.378353  0.000008
  14.8500      0.003052  0.378353  0.000008
  14.8750      0.003052  0.378327  0.000008
  14.9000      0.003052  0.378274  0.000008
  14.9250      0.003052  0.378300  0.000008
  14.9500      0.003053  0.378380  0.000008
  14.9750      0.003052  0.378327  0.000008
  15.0000      0.003053  0.378379  0.000008
  15.0250      0.003053  0.378379  0.000008
  15.0500      0.003052  0.378300  0.000008
  15.0750      0.003052  0.378327  0.000008
  15.1000      0.003052  0.378274  0.000008
  15.1250      0.003052  0.378327  0.000008
  15.1500      0.003052  0.378327  0.000008
  15.1750      0.003052  0.378300  0.000008
  15.2000      0.003052  0.378353  0.000008
  15.2250      0.003053  0.378379  0.000008
  15.2500      0.003052  0.378301  0.000008
  15.2750      0.003052  0.378300  0.000008
  15.3000      0.003052  0.378327  0.000008
  15.3250      0.003052  0.378327  0.000008
  15.3500      0.003052  0.378274  0.000008
  15.3750      0.003052  0.378274  0.000008
  15.4000      0.003052  0.378327  0.000008
  15.4250      0.003089  0.382909  0.000008
  15.4500      0.003052  0.378301  0.000008
  15.4750      0.003052  0.378327  0.000008
  15.5000      0.003052  0.378274  0.000008
  15.5250      0.003052  0.378274  0.000008
  15.5500      0.003052  0.378274  0.000008
  15.5750      0.003052  0.378300  0.000008
  15.6000      0.003052  0.378301  0.000008
  15.6250      0.003052  0.378274  0.000008
  15.6500      0.003052  0.378274  0.000008
  15.6750      0.003052  0.378274  0.000008
  15.7000      0.003052  0.378274  0.000008
  15.7250      0.003052  0.378301  0.000008
  15.7500      0.003052  0.378300  0.000008
  15.7750      0.003052  0.378327  0.000008
  15.8000      0.003052  0.378301  0.000008
  15.8250      0.003052  0.378327  0.000008
  15.8500      0.003052  0.378274  0.000008
  15.8750      0.003052  0.378327  0.000008
  15.9000      0.003052  0.378274  0.000008
  15.9250      0.003052  0.378353  0.000008
  15.9500      0.003052  0.378274  0.000008
  15.9750      0.003052  0.378301  0.000008
  16.0000      0.003052  0.378274  0.000008
  16.0250      0.003052  0.378300  0.000008
  16.0500      0.003052  0.378274  0.000008
  16.0750      0.003052  0.378274  0.000008
  16.1000      0.003052  0.378300  0.000008
  16.1250      0.003052  0.378274  0.000008
  16.1500      0.003052  0.378300  0.000008
  16.1750      0.003052  0.378301  0.000008
  16.2000      0.003052  0.378274  0.000008
  16.2250      0.003052  0.378274  0.000008
  16.2500      0.003052  0.378274  0.000008
  16.2750      0.003052  0.378300  0.000008
  16.3000      0.003052  0.378274  0.000008
  16.3250      0.003052  0.378274  0.000008
  16.3500      0.003052  0.378300  0.000008
  16.3750      0.003052  0.378301  0.000008
  16.4000      0.003052  0.378301  0.000008
  16.4250      0.003052  0.378274  0.000008
